OID_,CID,name,POINT_X,POINT_Y,OID1
223,19,grspn223,-68.556843717999982,44.044307522000054,
224,19,grspn224,-68.557490934999976,44.042517067000063,
225,19,grspn225,-68.558737789999952,44.043705374000069,
226,19,grspn226,-68.558045980999964,44.040470941000081,
227,19,grspn227,-68.557678831999965,44.042505764000055,
228,19,grspn228,-68.556566152999949,44.040266070000030,
229,19,grspn229,-68.555864503999942,44.042984926000031,
230,19,grspn230,-68.554733057999954,44.043343864000065,
231,19,grspn231,-68.556451082999956,44.039876143000072,
232,19,grspn232,-68.557325470999956,44.043948681000074,
233,19,grspn233,-68.558509409999942,44.044351142000039,
234,19,grspn234,-68.558056266999984,44.042603697000061,
235,19,grspn235,-68.558145429999968,44.044636299000047,
236,19,grspn236,-68.558524137999939,44.043342875000064,
237,19,grspn237,-68.557532264999963,44.044155286000034,
238,19,grspn238,-68.556686990999935,44.040483863000077,
239,19,grspn239,-68.556381349999981,44.041559819000042,
240,19,grspn240,-68.558321270999954,44.044119488000035,
241,19,grspn241,-68.558839437999950,44.040601264000031,
242,19,grspn242,-68.556048705999956,44.044076832000030,
243,19,grspn243,-68.556499269999961,44.043225384000039,
244,19,grspn244,-68.557335182999964,44.042430261000050,
245,19,grspn245,-68.557650248999948,44.043643938000059,
